#{"t_start": 1766221451.5924728, "env_id": "None"}
r,l,t
100503.0,107608,1275.941211
100401.0,107608,1275.941211
100416.0,107608,1275.941211
100389.0,107608,1275.941211
100453.0,107608,1275.941211
100474.0,107608,1275.941211
100579.0,107608,1275.941211
100602.0,107608,1275.941211
100517.0,107608,1275.941211
100478.0,107608,1275.941211
100504.0,107608,1275.941211
100542.0,107608,1275.941211
100362.0,107608,1275.941211
100483.0,107608,1275.941211
100561.0,107608,1275.941211
100527.0,107608,1275.941211
